Cluster,Mean Total PnL,Std Total PnL,Mean Avg Trade Size (USD),Std Avg Trade Size (USD),Mean Avg Execution Price,Std Avg Execution Price
0,1239520.7655216,615435.929736944,6827.369183937069,5895.685825189323,3385.91883265058,3967.690568618514
1,126335.18949226088,156217.8159630066,3295.1040597324013,2386.7735647670497,7384.3430746421645,8938.144893330807
2,298411.43937649997,385814.1997594016,20582.3751347251,10905.39130560607,60887.47492199942,22651.98243408687
